PERMNO,date,COMNAM,RET
10087,20-10-1986,BEAUTICONTROL COSMETICS INC,0.016667
10087,21-10-1986,BEAUTICONTROL COSMETICS INC,-0.04918
10087,22-10-1986,BEAUTICONTROL COSMETICS INC,0.034483
10087,23-10-1986,BEAUTICONTROL COSMETICS INC,-0.016667
10087,24-10-1986,BEAUTICONTROL COSMETICS INC,0.084746
10087,27-10-1986,BEAUTICONTROL COSMETICS INC,-0.007813
10087,28-10-1986,BEAUTICONTROL COSMETICS INC,0.007874
10087,29-10-1986,BEAUTICONTROL COSMETICS INC,0
10087,30-10-1986,BEAUTICONTROL COSMETICS INC,0
10087,31-10-1986,BEAUTICONTROL COSMETICS INC,0
10087,3/11/1986,BEAUTICONTROL COSMETICS INC,0
10087,4/11/1986,BEAUTICONTROL COSMETICS INC,-0.015625
10087,5/11/1986,BEAUTICONTROL COSMETICS INC,0
10087,6/11/1986,BEAUTICONTROL COSMETICS INC,0
10087,7/11/1986,BEAUTICONTROL COSMETICS INC,0.031746
10087,10/11/1986,BEAUTICONTROL COSMETICS INC,0.030769
10087,11/11/1986,BEAUTICONTROL COSMETICS INC,0.104478
10087,12/11/1986,BEAUTICONTROL COSMETICS INC,0.013514
10087,13-11-1986,BEAUTICONTROL COSMETICS INC,-0.053333
10087,14-11-1986,BEAUTICONTROL COSMETICS INC,-0.042254
10087,17-11-1986,BEAUTICONTROL COSMETICS INC,-0.014706
10087,18-11-1986,BEAUTICONTROL COSMETICS INC,-0.014925
10087,19-11-1986,BEAUTICONTROL COSMETICS INC,-0.045455
10087,20-11-1986,BEAUTICONTROL COSMETICS INC,0.031746
10087,21-11-1986,BEAUTICONTROL COSMETICS INC,-0.030769
10087,24-11-1986,BEAUTICONTROL COSMETICS INC,-0.015873
10087,25-11-1986,BEAUTICONTROL COSMETICS INC,0.032258
10087,26-11-1986,BEAUTICONTROL COSMETICS INC,-0.03125
10087,28-11-1986,BEAUTICONTROL COSMETICS INC,0.032258
10087,1/12/1986,BEAUTICONTROL COSMETICS INC,-0.03125
10087,2/12/1986,BEAUTICONTROL COSMETICS INC,0
10087,3/12/1986,BEAUTICONTROL COSMETICS INC,-0.032258
10087,4/12/1986,BEAUTICONTROL COSMETICS INC,-0.083333
10087,5/12/1986,BEAUTICONTROL COSMETICS INC,-0.018182
10087,8/12/1986,BEAUTICONTROL COSMETICS INC,-0.092593
10087,9/12/1986,BEAUTICONTROL COSMETICS INC,0.020408
10087,10/12/1986,BEAUTICONTROL COSMETICS INC,-0.04
10087,11/12/1986,BEAUTICONTROL COSMETICS INC,0
10087,12/12/1986,BEAUTICONTROL COSMETICS INC,-0.0625
10087,15-12-1986,BEAUTICONTROL COSMETICS INC,-0.088889
10087,16-12-1986,BEAUTICONTROL COSMETICS INC,0
10087,17-12-1986,BEAUTICONTROL COSMETICS INC,0
10087,18-12-1986,BEAUTICONTROL COSMETICS INC,-0.012195
10087,19-12-1986,BEAUTICONTROL COSMETICS INC,0.012346
10087,22-12-1986,BEAUTICONTROL COSMETICS INC,0.121951
10087,23-12-1986,BEAUTICONTROL COSMETICS INC,-0.043478
10087,24-12-1986,BEAUTICONTROL COSMETICS INC,-0.045455
10087,26-12-1986,BEAUTICONTROL COSMETICS INC,0.047619
10087,29-12-1986,BEAUTICONTROL COSMETICS INC,-0.022727
10087,30-12-1986,BEAUTICONTROL COSMETICS INC,-0.034884
10087,31-12-1986,BEAUTICONTROL COSMETICS INC,0.036145
10087,2/1/1987,BEAUTICONTROL COSMETICS INC,0.116279
10087,5/1/1987,BEAUTICONTROL COSMETICS INC,-0.041667
10087,6/1/1987,BEAUTICONTROL COSMETICS INC,0.021739
10087,7/1/1987,BEAUTICONTROL COSMETICS INC,0.031915
10087,8/1/1987,BEAUTICONTROL COSMETICS INC,0.030928
10087,9/1/1987,BEAUTICONTROL COSMETICS INC,0.08
10087,12/1/1987,BEAUTICONTROL COSMETICS INC,-0.037037
10087,13-01-1987,BEAUTICONTROL COSMETICS INC,0
10087,14-01-1987,BEAUTICONTROL COSMETICS INC,-0.019231
10087,15-01-1987,BEAUTICONTROL COSMETICS INC,0.039216
10087,16-01-1987,BEAUTICONTROL COSMETICS INC,0.018868
10087,19-01-1987,BEAUTICONTROL COSMETICS INC,0
10087,20-01-1987,BEAUTICONTROL COSMETICS INC,-0.037037
10087,21-01-1987,BEAUTICONTROL COSMETICS INC,0
10087,22-01-1987,BEAUTICONTROL COSMETICS INC,-0.019231
10087,23-01-1987,BEAUTICONTROL COSMETICS INC,-0.019608
10087,26-01-1987,BEAUTICONTROL COSMETICS INC,-0.02
10087,27-01-1987,BEAUTICONTROL COSMETICS INC,-0.040816
10087,28-01-1987,BEAUTICONTROL COSMETICS INC,-0.085106
10087,29-01-1987,BEAUTICONTROL COSMETICS INC,-0.116279
10087,30-01-1987,BEAUTICONTROL COSMETICS INC,0
10087,2/2/1987,BEAUTICONTROL COSMETICS INC,-0.105263
10087,3/2/1987,BEAUTICONTROL COSMETICS INC,-0.117647
10087,4/2/1987,BEAUTICONTROL COSMETICS INC,0
10087,5/2/1987,BEAUTICONTROL COSMETICS INC,0.066667
