,permno,Date_Announced
734,89450.0,5/21/2006
735,89450.0,4/23/2004
736,89849.0,7/30/2014
737,89932.0,4/18/2012
738,89932.0,2/7/2000
739,89939.0,9/29/2004
740,90055.0,3/19/2007
741,90210.0,3/16/2015
742,90374.0,4/28/2016
743,90468.0,2/12/2007
744,90536.0,9/9/2014
745,90554.0,8/1/2012
746,90554.0,4/30/2008
747,90613.0,3/9/2016
748,90613.0,4/30/2007
749,90714.0,5/14/2006
750,90876.0,8/13/2010
751,90877.0,6/24/2010
752,90889.0,11/11/2014
753,90889.0,5/24/2004
754,90910.0,2/9/2012
755,90920.0,10/17/2006
756,90978.0,4/28/2011
757,90978.0,7/17/2008
758,90978.0,8/26/2005
759,91033.0,4/7/2014
760,91045.0,2/14/2011
761,91117.0,12/16/2011
762,91234.0,11/6/2006
763,91234.0,6/19/2005
764,91578.0,11/5/2012
765,91675.0,3/20/2013
766,91830.0,10/21/2009
767,92021.0,9/13/2015
768,92257.0,12/15/2003
769,92376.0,7/28/2009
770,92442.0,6/2/2014
771,92442.0,9/20/2010
772,92687.0,2/7/2008
773,92765.0,8/26/2016
774,93015.0,2/14/2013
775,93323.0,2/6/2013
776,12026.0,6/2/2016
777,12515.0,1/21/2000
778,12576.0,1/7/2013
779,12682.0,8/26/2013
780,13294.0,6/4/2013
781,13535.0,11/8/2012
782,13791.0,1/21/2014
783,13875.0,2/19/2014
784,14062.0,9/29/2014
785,14603.0,6/4/2012
786,14723.0,7/13/2016
787,15315.0,6/29/2011
7,10195.0,9/17/2006
12,65234.0,5/12/2008
14,79900.0,6/16/1997
15,79900.0,12/18/2006
19,41428.0,6/17/1997
21,75493.0,10/21/1997
24,46747.0,8/9/1999
29,76670.0,4/20/2006
32,76234.0,9/9/2013
35,12249.0,11/23/1998
36,72514.0,5/31/1995
48,75524.0,2/21/2006
49,75524.0,10/31/2011
59,80778.0,2/18/1994
62,11510.0,5/22/2012
72,78031.0,10/30/2007
80,78220.0,7/14/1998
88,76787.0,1/2/2012
92,90721.0,5/10/2005
95,86281.0,12/20/2005
96,86281.0,10/26/1995
104,82661.0,9/16/1997
117,75519.0,8/31/1998
125,76552.0,5/28/1986
126,76552.0,10/31/1995
128,78848.0,5/29/2003
129,88354.0,7/30/1999
142,81229.0,11/19/1997
182,85450.0,3/8/2010
188,77554.0,1/22/2006
192,82838.0,4/8/1997
198,80950.0,9/29/1997
201,90909.0,6/30/2014
209,81628.0,8/26/1996
210,81628.0,3/31/1995
245,83510.0,3/10/1997
299,81135.0,6/1/1999
300,81135.0,12/14/1994
317,91262.0,4/22/2004
368,89354.0,9/17/2007
373,89930.0,12/16/2002
374,89930.0,10/5/2011
388,89289.0,12/30/1988
395,12877.0,6/12/2009
421,90638.0,12/8/2004
422,90638.0,2/13/1997
423,90638.0,3/5/2010
445,85675.0,3/11/1997
466,88358.0,11/5/2012
467,88358.0,5/17/2000
475,90733.0,7/12/2013
476,90733.0,4/14/2003
477,90733.0,7/1/1998
533,77881.0,12/5/2006
538,65154.0,4/19/1999
544,75369.0,4/1/2002
555,77719.0,8/14/2001
556,87283.0,9/9/2013
557,87283.0,5/2/2005
558,87283.0,12/8/1986
559,65015.0,9/12/2002
560,77799.0,8/14/1998
561,77799.0,7/20/1994
567,75375.0,3/18/1987
568,75375.0,1/28/1986
573,75428.0,7/5/2013
574,75428.0,10/17/1997
575,78850.0,3/8/2002
616,81029.0,6/21/2010
642,91663.0,1/18/2000
643,91663.0,10/13/1995
644,91663.0,6/22/1989
673,85344.0,12/14/2001
688,86380.0,11/17/1997
692,15045.0,5/16/2010
693,15045.0,4/2/2007
694,15045.0,4/7/2005
704,90452.0,9/28/2009
705,90452.0,10/7/2003
706,90452.0,1/26/1999
712,90071.0,3/26/2003
720,88911.0,8/7/2006
721,88911.0,5/31/2000
722,88911.0,10/25/1995
756,92791.0,4/28/2011
757,92791.0,7/17/2008
758,92791.0,8/26/2005
762,91639.0,11/6/2006
763,91639.0,6/19/2005
783,14597.0,2/19/2014
556,87281.0,9/9/2013
557,87281.0,5/2/2005
558,87281.0,12/8/1986
