permno,Date_Announced
67432.0,2004-11-15
71685.0,2010-10-21
65533.0,2004-06-04
38893.0,2000-01-18
48637.0,2002-04-01
53575.0,2013-11-08
75288.0,2002-06-25
54543.0,2000-02-14
32096.0,2002-07-02
32205.0,1998-05-19
69489.0,1996-08-26
68945.0,1997-09-04
42104.0,1999-12-28
42104.0,2003-06-17
40213.0,1997-05-21
55191.0,2001-08-14
75179.0,2013-09-09
75179.0,2005-05-02
75179.0,1986-12-08
55036.0,2002-09-12
70949.0,1998-08-14
70949.0,1994-07-20
75359.0,1997-05-05
54818.0,2013-07-09
67715.0,2006-11-22
67715.0,1998-11-25
53399.0,1997-10-17
75189.0,1987-03-18
75189.0,1986-01-28
54471.0,1996-10-08
42219.0,2011-04-11
38578.0,2012-01-30
75101.0,2011-06-13
47183.0,2013-07-05
47183.0,1997-10-17
45137.0,2002-03-08
51932.0,2003-01-16
75602.0,1997-05-12
75602.0,1996-01-30
75195.0,1988-11-07
76219.0,2011-11-21
76475.0,1998-02-09
78468.0,2007-07-30
78468.0,2006-06-26
86743.0,2007-05-29
84402.0,2007-07-02
13250.0,2015-11-11
86018.0,2001-07-30
80703.0,2003-08-12
80701.0,2001-11-21
76596.0,1995-12-18
76634.0,1999-02-16
76634.0,1997-03-11
76673.0,2011-02-08
77061.0,2000-11-03
77546.0,2007-04-02
77550.0,1997-04-22
77608.0,2014-04-14
77608.0,2007-06-20
78796.0,1996-03-29
78789.0,1995-12-11
78948.0,1992-08-19
79042.0,1998-12-08
79042.0,1989-12-11
79437.0,2005-12-19
79545.0,1992-10-20
79669.0,1995-08-18
79779.0,1995-10-06
79779.0,1993-04-30
79925.0,1995-02-13
79925.0,1994-08-04
80192.0,1997-12-23
80404.0,2003-10-23
80425.0,1998-06-02
80679.0,2012-02-24
80786.0,2001-10-18
81028.0,2010-06-21
81047.0,1997-04-30
81056.0,2002-05-08
81060.0,2005-02-04
84259.0,1999-11-05
84259.0,1986-11-24
81131.0,1998-03-09
81293.0,2009-08-31
81671.0,1999-09-07
84027.0,1999-04-26
84027.0,1995-04-04
82235.0,2007-08-12
82236.0,2005-06-14
82242.0,2009-07-08
82295.0,2012-02-29
82295.0,2007-02-20
82632.0,1999-06-28
82773.0,1998-02-09
82773.0,1995-04-24
82795.0,1995-10-11
82862.0,1998-03-16
83232.0,1998-10-09
83333.0,2012-05-01
83439.0,1997-06-09
83459.0,1998-07-03
83583.0,2003-10-27
83594.0,2000-01-18
83594.0,1995-10-13
83594.0,1989-06-22
83598.0,2006-10-19
83598.0,1998-04-15
83602.0,1995-11-14
83823.0,1999-09-28
84018.0,2000-02-28
84025.0,1998-10-13
84036.0,2006-12-12
84036.0,1999-12-14
84169.0,2013-12-09
84169.0,2005-11-08
84361.0,2002-10-10
84371.0,1998-04-06
84377.0,2002-08-14
84377.0,1999-05-10
84377.0,1996-04-17
84382.0,2002-07-23
84391.0,2001-12-11
84391.0,1997-10-27
84396.0,2002-04-29
84573.0,1998-12-02
84779.0,2013-03-22
84779.0,2011-07-14
84779.0,2009-02-21
84785.0,2012-11-15
85071.0,2001-01-16
85071.0,1992-02-13
85071.0,1987-01-13
85239.0,2001-06-18
85343.0,2001-12-14
85409.0,1998-01-28
85409.0,1997-02-18
85429.0,2002-03-18
85431.0,2013-01-24
85431.0,2004-08-27
85431.0,1997-06-11
85432.0,2013-10-15
85436.0,1998-12-15
85603.0,2005-12-27
85603.0,1989-10-05
85648.0,1998-05-29
85648.0,1997-08-12
85661.0,2003-11-25
85903.0,2004-09-24
85931.0,1997-11-17
85944.0,2001-08-01
85955.0,1999-11-01
86010.0,1998-08-27
86025.0,2010-05-16
86025.0,2007-04-02
86025.0,2005-04-07
86102.0,1989-03-13
86118.0,1999-08-01
86118.0,1997-12-17
86120.0,2008-11-25
86120.0,2002-05-15
86133.0,1999-09-28
86587.0,2002-01-24
86587.0,1998-12-31
86602.0,2009-09-21
86801.0,2009-09-28
86801.0,2003-10-07
86801.0,1999-01-26
87041.0,2000-05-04
87139.0,2015-11-18
87140.0,2011-02-17
87465.0,2004-11-08
88169.0,2003-08-05
88232.0,2003-03-26
88246.0,2010-03-01
88270.0,2005-07-10
88287.0,1999-10-04
88308.0,2003-10-15
88366.0,2002-02-20
88430.0,2006-10-17
88477.0,2003-02-18
88543.0,2006-08-07
88543.0,2000-05-31
88543.0,1995-10-25
88574.0,2015-11-23
88588.0,2002-05-15
88634.0,2007-02-12
88636.0,2003-04-07
88651.0,2005-01-07
88809.0,2007-04-23
89028.0,2003-06-09
89177.0,2004-01-13
89326.0,2005-12-13
89410.0,2015-08-31
89410.0,2011-04-01
89450.0,2006-05-21
89450.0,2004-04-23
89849.0,2014-07-30
89932.0,2012-04-18
89932.0,2000-02-07
89939.0,2004-09-29
90055.0,2007-03-19
90210.0,2015-03-16
90374.0,2016-04-28
90468.0,2007-02-12
90536.0,2014-09-09
90554.0,2012-08-01
90554.0,2008-04-30
90613.0,2016-03-09
90613.0,2007-04-30
90714.0,2006-05-14
90876.0,2010-08-13
90877.0,2010-06-24
90889.0,2014-11-11
90889.0,2004-05-24
90910.0,2012-02-09
90920.0,2006-10-17
90978.0,2011-04-28
90978.0,2008-07-17
90978.0,2005-08-26
91033.0,2014-04-07
91045.0,2011-02-14
91117.0,2011-12-16
91234.0,2006-11-06
91234.0,2005-06-19
91578.0,2012-11-05
91675.0,2013-03-20
91830.0,2009-10-21
92021.0,2015-09-13
