,numbers,dollars
1012,3.0,1.0
1013,,
1014,4.0,0.0
1015,,
1016,11.0,2.0
1017,1.0,0.0
1018,,
1019,6.0,3.0
1020,,
1021,5.0,2.0
1022,16.0,4.0
1023,7.0,5.0
1024,,
1025,2.0,0.0
1026,10.0,2.0
1027,1.0,1.0
1028,6.0,3.0
1029,,
1030,4.0,1.0
1031,9.0,3.0
1032,,
1033,13.0,5.0
1034,0.0,0.0
1035,,
1036,4.0,2.0
1037,1.0,1.0
1038,2.0,2.0
1039,4.0,0.0
1040,,
1041,16.0,5.0
1042,,
1043,1.0,1.0
1044,0.0,0.0
1045,0.0,0.0
1046,,
1047,2.0,1.0
1048,1.0,0.0
1049,0.0,0.0
1050,,
1051,1.0,1.0
1052,,
1053,6.0,1.0
1054,1.0,0.0
1055,,
1056,1.0,0.0
1057,1.0,0.0
1058,,
1059,1.0,0.0
1060,1.0,1.0
1061,1.0,0.0
1062,,
1063,9.0,4.0
1064,1.0,1.0
1065,,
1066,7.0,4.0
1067,11.0,0.0
1068,,
1069,5.0,1.0
1070,2.0,0.0
1071,,
1072,19.0,1.0
1073,,
1074,,
1075,,
1076,3.0,2.0
1077,,
1078,1.0,0.0
1079,,
1080,,
1081,,
1082,0.0,0.0
1083,0.0,0.0
1084,4.0,2.0
1085,0.0,0.0
1086,,
1087,2.0,1.0
1088,,
1089,2.0,1.0
1090,,
1091,2.0,0.0
1092,,
1093,5.0,2.0
1094,6.0,2.0
1095,6.0,2.0
1096,7.0,3.0
1097,7.0,5.0
1098,,
1099,0.0,0.0
1100,7.0,1.0
1101,10.0,6.0
1102,27.0,0.0
1103,2.0,1.0
1104,0.0,0.0
1105,27.0,10.0
1106,0.0,0.0
1107,15.0,0.0
1108,,
1109,29.0,16.0
1110,4.0,2.0
1111,,
1112,27.0,16.0
1113,3.0,0.0
1114,17.0,2.0
1115,9.0,2.0
1116,2.0,0.0
1117,0.0,0.0
1118,11.0,1.0
1119,6.0,0.0
1120,10.0,6.0
1121,0.0,0.0
1122,3.0,1.0
1123,2.0,1.0
1124,2.0,0.0
1125,,
1126,0.0,0.0
1127,1.0,0.0
1128,1.0,0.0
1129,14.0,8.0
1130,12.0,0.0
1131,19.0,6.0
1132,19.0,6.0
1133,,
1134,4.0,1.0
1135,5.0,1.0
1136,35.0,4.0
1137,1.0,0.0
1138,2.0,0.0
1139,18.0,6.0
1140,43.0,17.0
1141,18.0,7.0
1142,11.0,2.0
1143,21.0,5.0
1144,2.0,0.0
1145,1.0,0.0
1146,2.0,0.0
1147,97.0,12.0
1148,,
1149,18.0,6.0
1150,9.0,7.0
1151,8.0,0.0
1152,2.0,0.0
1153,17.0,0.0
1154,3.0,2.0
1155,15.0,2.0
1156,1.0,0.0
1157,39.0,1.0
1158,15.0,2.0
1159,2.0,2.0
1160,9.0,0.0
1161,,
1162,53.0,12.0
1163,49.0,11.0
1164,5.0,0.0
1165,16.0,0.0
1166,6.0,1.0
1167,3.0,1.0
1168,8.0,4.0
1169,6.0,2.0
1170,9.0,2.0
1171,1.0,0.0
1172,25.0,0.0
1173,8.0,0.0
1174,,
1175,36.0,18.0
1176,20.0,9.0
1177,2.0,1.0
1178,5.0,0.0
1179,,
1180,37.0,17.0
1181,17.0,0.0
1182,14.0,1.0
1183,0.0,0.0
1184,12.0,2.0
1185,4.0,1.0
