"permco","permno1","permno2","permno3","fyear","Target_CUSIP","Target_Name","Acquiror_Name","Status","Acquiror_Primary_Ticker_Symbol","Target_Primary_Ticker_Symbol","Acquiror_Ticker_Symbol","Target_Ticker_Symbol","Acquiror__CUSIP","sdc_Deal_Number","year_acq_ann","month_acq_ann","yearmonth_acq_ann","yearmonth_acq_ann_complete","acq_complete","year_acq_ann_complete","month_acq_ann_complete","price_per_share","Target_Share_Price_4_Weeks_Prior","Target_Share_Price_1_Week_Prior","Target_Share_Price_1_Day_Prior","percentage_Shares_acq","perc_owned_after_transaction","percentage_shares_sought","Date_Announced","Date_Effective","Date_Withdrawn"
7677,89333,,,1985,"487584","Keithley Instr Inc","Danaher Corp","Completed","DHR","KEI","DHR","KEI","235851",2225043020,2010,9,24129,24129,1,2010,9,21.6,9.82,11.91,12.39,100,100,100,9/29/2010,12/8/2010,
7680,89894,86281,,1985,"577729","Maxtor Corp","Seagate Technology Inc","Completed","STX","MXO","STX","MXO","G7945J",1722226020,2005,12,24072,24072,1,2005,12,7.24,3.84,4.66,4.53,100,100,100,12/20/2005,5/22/2006,
7680,89894,86281,,1985,"577729","Maxtor Corp","Hyundai Electn Industries Co","Completed",,"MXTR",,"MXTR~MXO","44918P",513885020,1995,10,23950,23950,1,1995,10,6.7,4.625,4.0625,4.6875,66.9,100,66.9,10/26/1995,1/17/1996,
7775,92313,,,1985,"873080","TVX Broadcast Group Inc","Paramount Pictures Corp","Completed",,"TVXG",,"TVXG","69931T",111222020,1989,1,23869,23869,1,1989,1,,1.5,1.875,2.125,79.04,79,79,1/17/1989,12/11/1989,
7775,92313,,,1985,"873080","TVX Broadcast Group Inc","TVX Broadcast Group Inc","Completed","TVXG","TVXG","TVXG","TVXG","873080",110065020,1988,3,23859,23859,1,1988,3,,3.5,3.25,3.25,100,100,100,3/31/1988,12/15/1988,
7820,85893,,,1985,"081465","Ben & Jerry's Homemade Inc","Unilever NV","Completed","UN","BJICA","UN~UNA~UNLVF","BJICA","904784",980224020,2000,4,24004,24004,1,2000,4,43.6,25.125,21.375,24,100,100,100,4/12/2000,6/27/2000,
7851,91396,,,1986,"759000","Regina Co Inc","TRC Acquisition Corp","Completed",,"REGC",,"REGC","87262F",112907020,1989,5,23873,23873,1,1989,5,,5,4.875,6.125,100,100,100,5/19/1989,6/30/1989,
7851,91396,,,1986,"759000","Regina Co Inc","Philips Electronics North","Completed",,"REGC",,"REGC","71830Y",467936020,1995,5,23945,23945,1,1995,5,,0,0,0,100,100,100,5/16/1995,5/16/1995,
7851,91396,,,1986,"759000","Regina Co Inc","Pass-Port Ltd","Completed",,"REGC",,"REGC","70269P",423579020,1994,8,23936,23936,1,1994,8,,0,0,0,100,100,100,8/24/1994,9/30/1994,
7858,91636,,,1986,"784406","S-K-I Ltd","LBO Enterprises","Completed",,"SKII",,"SKII","50179Z",451661020,1996,2,23954,23954,1,1996,2,18,13,12.5,12.5,100,100,100,2/13/1996,7/1/1996,
7916,85287,82661,,1986,"016480","All American Communications","Pearson PLC","Completed","PSON","AACI","PSON","AACI~AACIB","705015",695224020,1997,9,23973,23973,1,1997,9,25.5,18.5,18,22.625,76.83,76.8,100,9/16/1997,11/4/1997,
8031,10087,,,1986,"074655","BeautiControl Cosmetics Inc","Tupperware Corp","Completed","TUP","BUTI","TUP","BUTI","899896",1045807020,2000,9,24009,24009,1,2000,9,7,3.188,3.5,3.75,100,100,100,9/13/2000,10/18/2000,
8046,10105,,,1986,"890531","Tops Markets LLC","RFS Buffalo Acquisition Corp","Completed",,"TPPS",,"TPPS","74990M",23382020,1987,6,23850,23850,1,1987,6,33.5,26.75,26.75,27.75,100,100,100,6/5/1987,7/10/1987,
8046,10105,,,1986,"890531","Tops Markets LLC","Morgan Stanley Private Equity","Completed",,,,,"61697A",1913696020,2007,10,24094,24094,1,2007,10,,,,,100,100,100,10/11/2007,12/3/2007,
